id,name,city,iata,region
7073,San Luis Valley Regional Bergman Field,Alamosa,ALS,Denver
7074,Canyonlands Field,Moab,CNY,Denver
7075,Ely Airport Yelland Field,Ely,ELY,Los Angeles
7076,Vernal Regional Airport,Vernal,VEL,Denver
7077,Sierra Blanca Regional Airport,Ruidoso,RUI,Denver
7078,Show Low Regional Airport,Show Low,SOW,Phoenix
7079,McCall Municipal Airport,McCall,MYL,Denver
7080,Lemhi County Airport,Salmon,SMN,Denver
7081,Mammoth Yosemite Airport,Mammoth Lakes,MMH,Los Angeles
7082,Friday Harbor Airport,Friday Harbor,FRD,Los Angeles
7083,Orcas Island Airport,Eastsound,ESD,Los Angeles
7085,Astoria Regional Airport,Astoria,AST,Los Angeles
7086,Newport Municipal Airport,Newport,ONP,Los Angeles
7087,Emmonak Airport,Emmonak,EMK,Anchorage
7088,Unalakleet Airport,Unalakleet,UNK,Anchorage
7089,Ugnu-Kuparuk Airport,Kuparuk,UUK,Anchorage
7090,Shageluk Airport,Shageluk,SHX,Anchorage
7091,Chuathbaluk Airport,Chuathbaluk,CHU,Anchorage
7092,Nuiqsut Airport,Nuiqsut,NUI,Anchorage
7093,Eek Airport,Eek,EEK,Anchorage
7094,Kasigluk Airport,Kasigluk,KUK,Anchorage
7095,Kwethluk Airport,Kwethluk,KWT,Anchorage
7096,Kwigillingok Airport,Kwigillingok,KWK,Anchorage
7097,Marshall Don Hunter Sr Airport,Marshall,MLL,Anchorage
7098,Russian Mission Airport,Russian Mission,RSH,Anchorage
7101,Koliganek Airport,Koliganek,KGK,Anchorage
7103,Manokotak Airport,Manokotak,KMO,Anchorage
7105,Chalkyitsik Airport,Chalkyitsik,CIK,Anchorage
7106,Eagle Airport,Eagle,EAA,Anchorage
7107,Hughes Airport,Hughes,HUS,Anchorage
7108,Huslia Airport,Huslia,HSL,Anchorage
7111,Nulato Airport,Nulato,NUL,Anchorage
7114,Venetie Airport,Venetie,VEE,Anchorage
7115,Beaver Airport,Beaver,WBQ,Anchorage
7116,Central Airport,Central,CEM,Anchorage
7117,Shungnak Airport,Shungnak,SHG,Anchorage
7120,Inyokern Airport,Inyokern,IYK,Los Angeles
7121,Visalia Municipal Airport,Visalia,VIS,Los Angeles
7122,Merced Regional Macready Field,Merced,MCE,Los Angeles
7126,Phoenix Goodyear Airport,Goodyear,GYR,Phoenix
7135,Angoon Seaplane Base,Angoon,AGN,Anchorage
7136,Elfin Cove Seaplane Base,Elfin Cove,ELV,Anchorage
7140,Funter Bay Seaplane Base,Funter Bay,FNR,Anchorage
7142,Hoonah Airport,Hoonah,HNH,Anchorage
7143,Kake Airport,Kake,\N,Anchorage
7146,Metlakatla Seaplane Base,Metakatla,MTM,Anchorage
7148,Hydaburg Seaplane Base,Hydaburg,HYG,Anchorage
7154,Egegik Airport,Egegik,EGX,Anchorage
7157,Perryville Airport,Perryville,KPV,Anchorage
7158,Pilot Point Airport,Pilot Point,PIP,Anchorage
7159,South Naknek Nr 2 Airport,South Naknek,WSN,Anchorage
7160,Akhiok Airport,Akhiok,AKK,Anchorage
7161,Karluk Airport,Karluk,KYK,Anchorage
7162,Larsen Bay Airport,Larsen Bay,KLN,Anchorage
