id,name,city,iata,region
8664,Poplar Bluff Municipal Airport,Poplar Bluff,POF,Chicago
8665,Somerset Airport,Somerville,\N,New York
8666,Eastport Municipal Airport,Eastport,\N,New York
8667,Keokuk Municipal Airport,Keokuk,EOK,Chicago
8681,St Paul Downtown Holman Field,St. Paul,STP,Chicago
8693,Oconomowoc Airport,Oconomowoc,\N,Chicago
8706,Butler Co Regional Airport - Hogan Field,Hamilton,HAO,New York
8742,Fond du Lac County Airport,Fond du Lac,FLD,Chicago
8743,Waupaca Municipal Airport,Waupaca,\N,Chicago
8744,Stevens Point Municipal Airport,Stevens Point,STE,Chicago
8747,Luce County Airport,Newberry,\N,New York
8759,Galion Municipal Airport,Galion,GQQ,New York
8763,Clarksville–Montgomery County Regional Airport,Clarksville,CKV,Chicago
8771,Lompoc Airport,Lompoc,LPC,Los Angeles
8772,Chester County G O Carlson Airport,Coatesville,CTH,New York
8777,Lake Placid Airport,Lake Placid,LKP,New York
8784,Lima Allen County Airport,Lima,AOH,New York
8789,Malcolm McKinnon Airport,Brunswick,SSI,New York
8790,Beaver County Airport,Beaver Falls,BFP,New York
8792,Georgetown County Airport,Georgetown,GGE,New York
8793,Hardwick Field,Cleveland,HDI,New York
8796,Renton Municipal Airport,Renton,RNT,Los Angeles
8798,Brackett Field,La Verne,POC,Los Angeles
8801,Cross City Airport,Cross City,CTY,New York
8802,Oconee County Regional Airport,Clemson,CEU,New York
8804,Beech Factory Airport,Wichita,BEC,Chicago
8808,Tom B. David Field,Calhoun,\N,New York
8809,Habersham County Airport,Cornelia,\N,New York
8811,Georgetown Municipal Airport,Georgetown,\N,Chicago
8812,Old Rhinebeck Airport,Rhinebeck,\N,New York
8815,Sidney Municipal-Lloyd W Carr Field,Sidney,SNY,Denver
8824,Kalaeloa Airport,Kapolei,JRF,Pacific/Honolulu
8833,Iosco County Airport,East Tawas,ECA,New York
8834,Madison County Executive Airport-Tom Sharp Jr Field,Huntsville,\N,Chicago
8835,Leesburg Executive Airport,Leesburg,\N,New York
8838,Anoka County-Blaine (Janes Field) Airport,Anoka,\N,Chicago
8850,Williamson Sodus Airport,Williamson,\N,New York
8854,Boulder Municipal Airport,Boulder,WBU,Denver
8864,Palo Alto Airport of Santa Clara County,Palo Alto,PAO,Los Angeles
8869,Falcon Field,Mesa,MSC,Phoenix
8870,Coolidge Municipal Airport,Cooldige,\N,Phoenix
8871,Cottonwood Airport,Cottonwood,\N,Phoenix
8874,Ak-Chin Regional Airport,Phoenix,\N,Phoenix
8875,Wickenburg Municipal Airport,Wickenburg,\N,Phoenix
8877,Oakland County International Airport,Pontiac,PTK,New York
8888,Dillant Hopkins Airport,Keene,EEN,New York
8893,Glasgow Industrial Airport,Glasgow,\N,Denver
8925,Iowa City Municipal Airport,Iowa City,IOW,Chicago
8928,Windom Municipal Airport,Windom,\N,Chicago
8931,Longview Ranch Airport,Longview,\N,Los Angeles
8935,Lee Airport,Annapolis,ANP,New York
8950,Pecos Municipal Airport,Pecos,PEQ,Chicago
8951,Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg,HBG,Chicago
8958,Chan Gurney Municipal Airport,Yankton,YKN,Chicago
8982,Hayward Executive Airport,Hayward,HWD,Los Angeles
8989,Ann Arbor Municipal Airport,Ann Arbor,ARB,New York
9066,Henry County Airport,Hampton,\N,New York
9071,Alameda Naval Air Station,Alameda,NGZ,Los Angeles
9093,Comarapa Airport,Salt Lake City,\N,La Paz
9102,Immokalee Regional Airport,Immokalee ,IMM,New York
9104,Rancho San Simeon Airport,Cambria,\N,Los Angeles
9120,Dinwiddie County Airport,Petersburg,PTB,New York
9126,Sheboygan County Memorial Airport,Sheboygan,SBM,Chicago
9138,Pinal Airpark,Marana,MZJ,Phoenix
9139,Glendale Municipal Airport,Glendale,\N,Phoenix
9140,Safford Regional Airport,Safford,SAD,Phoenix
9164,Sikeston Memorial Municipal Airport,Sikeston,SIK,Chicago
9178,Floyd Bennett Memorial Airport,Queensbury,GFL,New York
9179,Saratoga County Airport,Ballston Spa,\N,New York
9182,Crystal River Airport,Crystal River,\N,New York
9183,Martin State Airport,Baltimore,MTN,New York
9184,Lincoln Regional Karl Harder Field,Lincoln,\N,Los Angeles
9185,Fostoria Metropolitan Airport,Fostoria,\N,New York
9186,Eastern Slopes Regional Airport,Fryeburg,FRY,New York
9187,Coral Creek Airport,Placida,\N,New York
9188,Lakefront Airport,New Orleans,NEW,Chicago
9189,Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene,COE,Los Angeles
9190,Beaumont Municipal Airport,Beaumont,BMT,Chicago
9191,Vermilion Regional Airport,Danville,DNV,Chicago
9199,Space Coast Regional Airport,Titusville,TIX,New York
9225,Andrau Airpark,Houston,AAP,Chicago
9226,Flying Cloud Airport,Eden Prairie,FCM,Chicago
9228,Johnson County Executive Airport,Olathe,OJC,Chicago
9249,Brandywine Airport,West Goshen Township,\N,New York
9251,Manassas Regional Airport/Harry P. Davis Field,Manassas,MNZ,New York
9252,Texas Gulf Coast Regional Airport,Angleton,LJN,Chicago
9305,Shelby County Airport,Shelbyville,\N,Chicago
9348,Enumclaw Airport,Enumclaw,\N,Los Angeles
9387,Port Alsworth Airport,Port alsworth,PTA,Anchorage
9390,Fairfield County Airport,Winnsboro,\N,New York
9396,Skyhaven Airport,Rochester,\N,New York
9399,Newton City-County Airport,Newton,EWK,Chicago
9403,Taszár Air Base,Columbus,TZR,Europe/Budapest
9406,Fort Bridger Airport,Fort Bridger,FBR,Denver
9407,Prosser Airport,Prosser,\N,Los Angeles
9408,Chehalis Centralia Airport,Chehalis,CLS,Los Angeles
9409,Desert Aire Regional Airport,Mattawa,\N,Los Angeles
9411,Evanston-Uinta County Airport-Burns Field,Evanston,EVW,Denver
9412,Sabetha Municipal Airport,Sabetha,\N,Chicago
9413,Mt Pleasant Regional-Faison field,Mount Pleasant,\N,New York
9414,Jimmy Carter Regional Airport,Americus,\N,New York
9415,Weedon Field,Eufala,EUF,Chicago
9416,Saluda County Airport,Saluda,\N,New York
9417,Dare County Regional Airport,Manteo,MEO,New York
9418,Auburn University Regional Airport,Auburn,AUO,Chicago
9419,Tri Cities Airport,Endicott,\N,New York
9428,Bessemer Airport,Bessemer,\N,Chicago
9429,Colorado Springs East Airport,Ellicott,\N,Denver
9447,Crystal Airport,Crystal,\N,Chicago
9448,Clarke County Airport,Quitman,\N,Chicago
9450,W H 'Bud' Barron Airport,Dublin,DBN,New York
9488,Corvallis Municipal Airport,Corvallis,CVO,Los Angeles
9500,El Almendro Airport,Scranton,\N,Santiago
9511,San Agustin Airport,Morristown,\N,Costa Rica
9543,Ogden Hinckley Airport,Ogden,OGD,Denver
9545,Robert S Kerr Airport,Poteau,\N,Chicago
9546,Colorado Plains Regional Airport,Akron,AKO,Denver
9547,Sanderson Field,Shelton,SHN,Los Angeles
9739,Napakiak Airport,Napakiak,WNA,Anchorage
9744,Napaskiak Airport,Napaskiak,PKA,Anchorage
9746,Tok Airport,Tok,\N,Anchorage
9754,Causey Airport,Liberty,\N,New York
9763,Doylestown Airport,Doylestown,DYL,New York
9772,Warren Field,Washington,OCW,New York
9773,Hyde County Airport,Engelhard,\N,New York
9776,Stillwater Regional Airport,Stillwater,SWO,Chicago
9777,Okmulgee Regional Airport,Okmulgee,OKM,Chicago
9778,Cushing Municipal Airport,Cushing,CUH,Chicago
9779,Clinton Sherman Airport,Clinton,CSM,Chicago
9780,Strother Field,Winfield,WLD,Chicago
9781,Wiley Post Airport,Oklahoma City,PWA,Chicago
9782,Shreveport Downtown Airport,Shreveport,DTN,Chicago
9783,Stephenville Clark Regional Airport,Stephenville,SEP,Chicago
9784,Perry Municipal Airport,Perry,\N,Chicago
9786,Hamilton Municipal Airport,Hamilton,\N,Chicago
9787,Ada Regional Airport,Ada,ADT,Chicago
9788,Mesquite Metro Airport,Misquite,\N,Chicago
9789,Denton Municipal Airport,Denton,\N,Chicago
9790,Austin Executive Airport,Austin,\N,Chicago
9791,Lago Vista Tx Rusty Allen Airport,Lago Vista,\N,Chicago
9792,Brenham Municipal Airport,Brenham,\N,Chicago
9793,Lakeway Airpark,Lakeway,\N,Chicago
9794,Iraan Municipal Airport,Iraan,IRB,Chicago
9795,Kestrel Airpark,San Antonio,\N,Chicago
9797,Wilkes County Airport,North Wilkesboro,IKB,New York
9798,Charleston Executive Airport,Charleston,\N,New York
9799,Danville Regional Airport,Danville,DAN,New York
9800,Brookneal/Campbell County Airport,Brookneal,\N,New York
9806,Cheraw Municipal Airport/Lynch Bellinger Field,Cheraw,HCW,New York
9808,Wauchula Municipal Airport,Wuchula,\N,New York
9847,Conway Horry County Airport,Conway,\N,New York
9938,Asheboro Regional Airport,Asheboro,\N,\N
9942,Henderson Field,Wallace,\N,\N
9943,Emporia Greensville Regional Airport,Emporia,\N,\N
10017,San Gabriel Valley Airport,El Monte,EMT,\N
10062,Kee Field,Pineville,\N,\N
10102,Stinson Municipal Airport,Stinson,SSF,\N
10103,Sallisaw Municipal Airport,Sallisaw,\N,\N
10104,Jasper County Airport-Bell Field,Jasper,JAS,\N
10105,El Dorado Springs Memorial Airport,El dorado springs,\N,\N
10106,Marfa Municipal Airport,Marfa,MRF,\N
10107,Alpine Casparis Municipal Airport,Alpine,ALE,\N
10117,Cable Airport,Upland,CCB,\N
10121,Mount Sterling Montgomery County Airport,Mount Sterling,\N,\N
10122,Elkhart Municipal Airport,Elkhart,EKI,\N
10123,Nappanee Municipal Airport,Nappanee ,\N,\N
10128,Jim Hamilton L.B. Owens Airport,Columbia,CUB,\N
10129,Grove Municipal Airport,Grove,\N,\N
10130,Mc Pherson Airport,Mc Pherson,\N,\N
10131,Donaldson Field Airport,Greenville,GDC,\N
10132,Perry Houston County Airport,Perry,\N,\N
10133,Hartsville Regional Airport,Hartsville,HVS,\N
10134,Horace Williams Airport,Chapel Hill,\N,\N
10138,Brunswick County Airport,Oak Island,\N,\N
10139,Chesterfield County Airport,Richmond,\N,\N
10144,Henderson Oxford Airport,Oxford,\N,\N
10145,Leesburg International Airport,Leesburg,LEE,\N
10162,Chino Airport,Chino,CNO,\N
10169,Madison County Airport,London,\N,\N
10185,Paso Robles Municipal Airport,Paso Robles,PRB,\N
10360,Half Moon Bay Airport,Half Moon Bay,HAF,\N
10371,General WM J Fox Airfield,Lancaster,WJF,\N
10831,Person County Airport,Roxboro,\N,\N
11004,Talladega Municipal Airport,Talladega,ASN,\N
11005,Greenville Downtown Airport,Greenville,GMU,\N
11008,Mankato Regional Airport,Mankato,\N,\N
11010,Troy Municipal Airport at N Kenneth Campbell Field,Troy,TOI,\N
11011,Merkel Field Sylacauga Municipal Airport,Sylacauga,\N,\N
11012,Enterprise Municipal Airport,Enterprise,ETS,\N
11017,Ryan Field,Tucson,\N,\N
11022,Thomas C Russell Field,Alexander City,ALX,\N
11035,Meriden Markham Municipal Airport,Meriden,\N,\N
11067,Ridgely Airpark,Ridgely,\N,\N
11068,New Castle Henry Co. Municipal Airport,New Castle,\N,\N
11069,Scott City Municipal Airport,Scott City,\N,\N
11070,Brewster Field,Holdredge,HDE,\N
11071,Pratt Regional Airport,Pratt,PTT,\N
11073,Wahoo Municipal Airport,Wahoo,\N,\N
11074,Jim Kelly Field,Lexington,LXN,\N
11075,Sublette Municipal Airport,Sublette,\N,\N
11076,Council Bluffs Municipal Airport,Council Bluffs,CBF,\N
11077,Kokomo Municipal Airport,Kokomo,OKK,\N
11078,Neodesha Municipal Airport,Neodesha,\N,\N
11079,King Ranch Airport,Sutton,\N,\N
11080,Elkhart Morton County Airport,Elkhart,\N,\N
11081,Front Range Airport,Denver,\N,\N
11082,Galesburg Municipal Airport,Galesburg,GBG,\N
11084,Guymon Municipal Airport,Guymon,GUY,\N
11086,Meade Municipal Airport,Meade,\N,\N
11087,Turkey Mountain Estates Airport,Shell Knob,\N,\N
11088,Ulysses Airport,Ulysses,\N,\N
11089,Flagler Aerial Spraying Inc Airport,Flagler,\N,\N
11090,Independence Municipal Airport,Independence,IDP,\N
11091,Augusta Municipal Airport,Augusta,\N,\N
11092,Larned Pawnee County Airport,Larned,\N,\N
11093,Lampasas Airport,Lampasas,\N,\N
11094,Bay City Municipal Airport,Bay City,BBC,\N
11095,Cox Field,Paris,PRX,\N
11096,Coffeyville Municipal Airport,Coffeyville,CFV,\N
11097,The Farm Airport,Summit,\N,\N
11098,Greeley–Weld County Airport,Greeley,GXY,\N
11099,General Dewitt Spain Airport,Memphis,\N,\N
11100,Oryol Yuzhny Airport,Oakley,OEL,\N
11101,Fremont Municipal Airport,Fremont,FET,\N
11102,La Grande/Union County Airport,La Grande,LGD,\N
11110,Pocono Mountains Municipal Airport,Mount Pocono,MPO,\N
11111,Quakertown Airport,Quakertown,UKT,\N
11131,Banning Municipal Airport,Banning,BNG,\N
11134,Karl Stefan Memorial Airport,Norfolk  Nebraska,OFK,\N
11141,Arlington Municipal Airport,Arlington,\N,\N
11153,Peter O Knight Airport,Tampa,TPF,\N
11243,Montauk Airport,Montauk,MTP,\N
11255,Porter County Municipal Airport,Valparaiso IN,VPZ,\N
11299,Mason County Airport,Ludington,LDM,\N
11312,Reid-Hillview Airport of Santa Clara County,San Jose,RHV,\N
11438,Camarillo Airport,Camarillo - CA,\N,\N
11638,Watsonville Municipal Airport,Watsonville,WVI,\N
11648,Hollister Municipal Airport,Hollister,HLI,\N
11649,Williamsburg Jamestown Airport,Williamsburg,\N,\N
11742,Union County Airport,Marysville,\N,\N
11814,St Louis Regional Airport,Alton/St Louis,ALN,\N
11815,Chandler Field,Alexandria,AXN,\N
11816,Columbus Municipal Airport,Columbus,CLU,\N
11817,Curtis Field,Brady,BBD,\N
11818,Eastern Sierra Regional Airport,Bishop,BIH,\N
11819,Baker City Municipal Airport,Baker City,BKE,\N
11820,Miley Memorial Field,Big Piney,BPI,\N
11821,Ozark Regional Airport,Mountain Home,WMH,\N
11822,W K Kellogg Airport,Battle Creek,BTL,\N
11823,Burley Municipal Airport,Burley,BYI,\N
11824,Northeast Iowa Regional Airport,Charles City,CCY,\N
11825,Chanute Martin Johnson Airport,Chanute,CNU,\N
11826,Jacksonville Executive at Craig Airport,Jacksonville,CRG,\N
11827,Crossville Memorial Whitson Field,Crossville,CSV,\N
11828,Davison Army Air Field,Fort Belvoir,DAA,\N
11829,Barstow Daggett Airport,Daggett,DAG,\N
11830,Deming Municipal Airport,Deming,DMN,\N
11831,Desert Rock Airport,Mercury,DRA,\N
11832,Needles Airport,Needles,EED,\N
11833,Duke Field,Crestview,EGI,\N
11834,Murray Field,Eureka,EKA,\N
11835,San Marcos Regional Airport,San Marcos,\N,\N
11836,Sawyer County Airport,Hayward,HYR,\N
11837,Kimble County Airport,Junction,JCT,\N
11838,Monticello Municipal Ellis Field,Monticello,\N,\N
11839,Derby Field,Lovelock,LOL,\N
11840,Mobridge Municipal Airport,Mobridge,MBG,\N
11841,Mc Comb/Pike County Airport/John E Lewis Field,Mc Comb,MCB,\N
11842,Southern Illinois Airport,Carbondale/Murphysboro,MDH,\N
11843,Mc Entire Joint National Guard Base,Eastover,MMT,\N
11844,Brunswick Executive Airport,Brunswick,NHZ,\N
11845,Naval Station Mayport (Admiral David L. Mcdonald Field),Mayport,NRB,\N
11846,Orangeburg Municipal Airport,Orangeburg,OGB,\N
11847,Columbus Municipal Airport,Columbus,\N,\N
11848,Ottumwa Regional Airport,Ottumwa,OTM,\N
11849,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,OZR,\N
11850,Ralph Wenz Field,Pinedale,PWY,\N
11851,Dutchess County Airport,Poughkeepsie,POU,\N
11852,New Richmond Regional Airport,New Richmond,\N,\N
11853,Russell Municipal Airport,Russell,RSL,\N
11854,Redwood Falls Municipal Airport,Redwood Falls,RWF,\N
11855,Salinas Municipal Airport,Salinas,SNS,\N
11856,Sonora Municipal Airport,Sonora,\N,\N
11857,Saline County Regional Airport,Benton,\N,\N
11858,Tonopah Airport,Tonopah,TPH,\N
11859,Aurora State Airport,Aurora,\N,\N
11860,Ukiah Municipal Airport,Ukiah,UKI,\N
11861,University Oxford Airport,Oxford,UOX,\N
11862,Huntsville Regional Airport,Huntsville,HTV,\N
11863,Miller Field,Valentine,VTN,\N
11864,Winnemucca Municipal Airport,Winnemucca,WMC,\N
11865,West Woodward Airport,Woodward,WWR,\N
11866,Cape Canaveral AFS Skid Strip,Cocoa Beach,\N,\N
11867,Homey (Area 51) Airport,Groom Lake,\N,\N
11868,Zanesville Municipal Airport,Zanesville,ZZV,\N
11918,Nenana Municipal Airport,Nenana,ENN,\N
11919,Wasilla Airport,Wasilla,WWA,\N
12185,Tracy Municipal Airport,Tracy,\N,\N
12469,Bolton Field,Columbus,\N,\N
12528,Skagit Regional Airport,Skagit,MVW,\N
12672,Marion County Brown Field,Jasper,APT,\N
12673,Evergreen Regional Airport/Middleton Field,Evergreen,\N,\N
12675,Pryor Field Regional Airport,Decatur,DCU,\N
12676,Glasgow Municipal Airport,Glasgow,GLW,\N
12796,Danielson Airport,Danielson,\N,\N
12856,Clearfield Lawrence Airport,Clearfield,\N,\N
12873,Jasper County Airport,Rensselaer,RNZ,\N
12950,Statesboro Bulloch County Airport,Statesboro,TBR,\N
13016,New Smyrna Beach Municipal Airport,New Smyrna Beach,\N,\N
13018,Las Vegas Helicopters Heliport,Las vegas,\N,\N
13072,Iowa County Airport,MINERAL POINT,\N,\N
13074,West Bend Municipal Airport,WEST BEND,ETB,\N
13075,Gaylord Regional Airport,GAYLORD,GLR,\N
13077,Anderson Municipal Darlington Field,ANDERSON,AID,\N
13080,Prairie Du Chien Municipal Airport,Prairie du Chien,PCD,\N
13098,Air Orlando Heliport,Orlando,\N,\N
13123,Stanly County Airport,Albemarle,\N,\N
13124,Davidson County Airport,Lexington,\N,\N
13126,Windwood Fly-In Resort Airport,Davis,\N,\N
13127,Lathan Strip,Mocksville,\N,\N
13130,Double Eagle II Airport,Albuquerque,\N,\N
13131,Socorro Municipal Airport,Socorro,\N,\N
13135,Bentonville Municipal-Louise M Thaden Field,Bentonville,\N,\N
13137,Blue Ridge Airport,Martinsville,\N,\N
13138,Mount Airy Surry County Airport,Mount Airy,\N,\N
13139,Taos Regional Airport,Taos,TSM,\N
13142,Raton Municipal-Crews Field,Raton,RTN,\N
13144,Rusk County Airport,Ladysmith,\N,\N
13154,Perry Lefors Field,Pampa,PPA,\N
13155,William R. Pogue Municipal Airport,Sand Springs,\N,\N
13156,Marion County Regional Airport,Flippin,FLP,\N
13158,Hutchinson County Airport,Borger,BGD,\N
13189,Santa Ynez Airport,Santa Ynez,SQA,\N
13233,Spartanburg Downtown Memorial Airport,Spartangurg,SPA,\N
13265,Tri-City Airport,Parsons,PPF,\N
13267,Waycross Ware County Airport,Waycross,AYS,\N
13269,Mid-State Regional Airport,Philipsburg,\N,\N
13271,Greater Portsmouth Regional Airport,Portsmouth,PMH,\N
13309,Camilla Mitchell County Airport,Camilla,\N,\N
13336,Clarks Point Airport,Clarks Point,CLP,\N
13354,Sandpoint Airport,Sandpoint,\N,\N
13436,Oakland Troy Airport,Troy,\N,\N
13439,Red Dog Airport,Red Dog,RDB,\N
13551,Frankfort Dow Memorial Field,Frankfort,\N,\N
13552,Cheboygan County Airport,Cheboygan,\N,\N
13607,John C Tune Airport,Nashville,\N,\N
13635,Denali Airport,McKinley Park,\N,\N
13642,Potomac Airpark,Berkeley Springs,\N,\N
13694,Stennis International Airport,Bay St. Louis,\N,\N
13707,Seldovia Airport,Seldovia,SOV,\N
13715,Julian Carroll Airport,Jackson,\N,\N
13716,Beaufort MCAS - Merritt Field,Beaufort,\N,\N
13717,Camp Pendleton MCAS (Munn Field) Airport,Oceanside,\N,\N
13757,Vidalia Regional Airport,Vidalia,VDI,\N
13758,Granbury Regional Airport,Granbury,\N,\N
13759,Oswego County Airport,Fulton,\N,\N
13803,Mitchell Municipal Airport,Mitchell,MHE,\N
